Name,Type,Description,Link,Functional Category,Status,OS Min Compatible,Measure Type,Toolkit Wrapper,Source Repo
Change Building Size,Ruby measure,This measure will change the building area (footprint) and height of a building multiplying by user-defined fractions.Repo: meftaH416/Openstudio_Measures_meftah,https://bcl.nrel.gov/content/7e034a2e-b90a-4f7d-9d46-66a526fc4d42,,,,,,
Import IDF to OS,Ruby measure,This measure allows you to import an IDF file to Openstudio without further processRepo: meftaH416/Openstudio_Measures_meftah,https://bcl.nrel.gov/content/9389d683-ac75-4727-b0e1-be09703ad71b,,,,,,
Change Floor Area,Ruby measure,This measure will change the floor area of a building multiplying by a user-defined fraction.Repo: meftaH416/Openstudio_Measures_meftah,https://bcl.nrel.gov/content/ab2a85d4-ac29-4cd7-985b-90d9568ce7a7,,,,,,
AddSolarPVT,Ruby measure,This measure will add solar PhotoVoltaicThermal object to the system. PVT system can be add to airloop outdoor air system or plant loopRepo: meftaH416/Openstudio_Measures_meftah,https://bcl.nrel.gov/content/ff6c80a9-cfcf-43d5-bb31-2a960a40bfbe,,,,,,
AddPCMtoEnv,Ruby measure,This measure can create new material with phase change property from user inputs and edit the idf file to run simulation.Repo: meftaH416/Openstudio_Measures_meftah,https://bcl.nrel.gov/content/722fca36-fc10-40b8-a03a-53c7f33e0c60,,,,,,
Heat Recovery Chiller,Ruby measure,This measure adds a heat recovery chiller and heat recovery loop to the model. The heat recovery chiller may be an existing chiller or new stand-alone heat recovery chiller. Converting an existing chiller will allow the chiller to rejected heat to the heat recovery loop in addition to the...Repo: BuildingPerformanceSimulation/openstudio-measures,https://bcl.nrel.gov/content/968b3e43-1b47-4f29-b0af-f1c16b3e68c2,,,,,,
Create and Assign CLT Construction Set,Ruby measure,"This measure allows a modeler to change the construction set in their model for a CLT construction set. The measure includes options for CLT exterior walls, CLT interior floors, and roof. It also provides options to infer insulation levels from existing constructions, replace external walls, and...Repo: AMBER-Group-CSM/openstudio-amber-measures-gem",https://bcl.nrel.gov/content/56b4745a-ab7e-48e4-9a81-7f4f917994ab,,,,,,
Ideal Air Loads Zone HVAC,Ruby measure,"This OpenStudio measure will replace the existing HVAC system with ideal air loads objects for each conditioned zone and allow the user to specify input fields including availability schedules, humidity controls, outdoor air ventilation, demand controlled ventilation, economizer operation, and...Repo: BuildingPerformanceSimulation/openstudio-measures",https://bcl.nrel.gov/content/9cdff3b9-7ce1-4982-b555-bb83c73727e4,,,,,,
Export Model with Measure Changes,Ruby measure,"This measure exports the in.osm file created for the simulation, moves it to a specified directory, and renames it. The default name is {name_of_parent_model}_wMeasures.osm, but a custom name can be specified.Repo: AMBER-Group-CSM/openstudio-amber-measures-gem",https://bcl.nrel.gov/content/32bb20b8-b6da-4385-93bc-f574ecd82168,,,,,,
Configure OutputControlTableStyle,Ruby measure,This measure allows users to set the column separator and unit conversion options for the OutputControl:Table:Style object in an OpenStudio model.Repo: AMBER-Group-CSM/openstudio-amber-measures-gem,https://bcl.nrel.gov/content/489d41dd-0a04-4dbf-9bee-7882b2afea14,,,,,,
Create Typical Building,Ruby measure,"The ""Create Typical Building"" OpenStudio measures empowers users to effortlessly generate OpenStudio and EnergyPlus models by making a few select choices. Users can input preferences such as the building energy code year (e.g., ASHRAE 90.1-2013), climate zone, and desired heating, ventilation,...Repo: pnnl/openstudio-building-energy-standard-measures-gem",https://bcl.nrel.gov/content/fa93dfc5-9f4f-4f8f-9db7-3aa5ccf38e5d,,,,,,
Detailed HVAC Viewer,Ruby measure,This measure creates a facsimile of the HVAC grid layout in the OpenStudio Application in an interactive html report. The user can optionally select loops to add Output:Variable to view node timeseries output data.Repo: BuildingPerformanceSimulation/openstudio-measures,https://bcl.nrel.gov/content/416a484f-bd28-4db8-8926-7d70740390eb,,,,,,
Create Typical Building,Ruby measure,"The ""Create Typical Building"" OpenStudio measures empowers users to effortlessly generate OpenStudio and EnergyPlus models by making a few select choices. Users can input preferences such as the building energy code year (e.g., ASHRAE 90.1-2013), climate zone, and desired heating, ventilation,...Repo: pnnl/openstudio-building-energy-standard-measures-gem",https://bcl.nrel.gov/content/3ecef6eb-ae4e-48da-b955-594e44b546bf,,,,,,
Create ASHRAE 90.1-2019 PRM Model,Ruby measure,Create the Baseline Building per ASHRAE Standard 90.1-2019 Performance Rating Method. User manual for this measure please see  https://pnnl.github.io/BEM-for-PRM .Repo: pnnl/openstudio-building-energy-standard-measures-gem,https://bcl.nrel.gov/content/a984a630-2a41-45fd-80ec-6454777bf253,,,,,,
Generate IPLV-specific Chiller Performance Curves for Chillers (Chiller:Electric:EIR).,Python measure,This measure generates and assigns a set of performance curves to a chiller object that matches a target description including the chiller's integrated part load value (IPLV) for the Chiller:Electric:EIR model.Repo: pnnl/openstudio-building-energy-standard-measures-gem,https://bcl.nrel.gov/content/5cd98b4e-ddfe-44ab-9dca-d9885f57a216,,,,,,
TimeSeries Objective Function,Ruby measure,Creates Objective Function from Timeseries DataRepo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/6804217d-4737-45f3-82df-b81393c29ce3,,,,,,
Set OutputEnvironmentalImpactFactors,Ruby measure,"This measure initializes the Output:EnvironmentalImpactFactors, EnvironmentalImpactFactors, and FuelFactors objects.  It also allows the user to change district heating efficiency.Repo: Ski90Moo/OpenStudio_Measures_HEPLLC",https://bcl.nrel.gov/content/2192ece6-c387-4fbf-bf87-1436c479f41f,,,,,,
Add Wind and Stack Open Area,Ruby measure,"This measure models natural ventilation to thermal zones with operable casement type windows.  It is not intended to model natural ventilation that relies on interzone, stack driven air transfer.Repo: BuildingPerformanceSimulation/openstudio-measures",https://bcl.nrel.gov/content/c1290ecc-ef5b-4c64-8df5-367cc1129841,,,,,,
Add Wind and Stack Open Area Legacy,Ruby measure,"This measure models natural ventilation to thermal zones with operable casement type windows.  It is not intended to model natural ventilation that relies on interzone, stack driven air transfer.Repo: BuildingPerformanceSimulation/openstudio-measures",https://bcl.nrel.gov/content/39cf10cd-cc6f-4b0e-9913-f77d8aa30f3c,,,,,,
ZEDG VRF with DOAS,Ruby measure,Adds VRF system with multiple indoor units connected to an outdoor unit.Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/633b8efc-7bcb-4aa0-8821-d0ee08f960db,,,,,,
ZEDG K12 Insert Ground Domain E+ Kusdua,Ruby measure,"Measure to insert the EnergyPlus Site:GroundDomain:Slab object into the model and, when recommended, horizontal and vertical insulation.Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/aa8123f0-4d04-4141-8a00-8a2bccf30315,,,,,,
Set Ground Temperatures-Constant,Ruby measure,This measure will set an annual average ground temperature for ground contact surfaces.  It sets the EnergyPlus object Site:GroundTemperature:BuildingSurface to a constant specified temperature for the whole year.Repo: Ski90Moo/OpenStudio_Measures_HEPLLC,https://bcl.nrel.gov/content/42b30e3e-86f6-4adc-a8a2-79183caf1236,,,,,,
Set Ground Temperatures-Monthly,Ruby measure,This measure will set monthly average ground temperatures for ground contact surfaces.  It sets the EnergyPlus object Site:GroundTemperature:BuildingSurface.Repo: Ski90Moo/OpenStudio_Measures_HEPLLC,https://bcl.nrel.gov/content/a7048e34-ffd2-42ac-abb9-fbf549023872,,,,,,
Set Output Table To SI Units v2,Ruby measure,This measure keeps the output table in SI units and the sql file remains in SI units to allow generation of OpenStudio Results in SI units. Report is outputted in HTML and tab delimited. Includes output for Sizing period (ie. zone level reports). Only compatible with EnergyPlus versions after...Repo: Ski90Moo/OpenStudio_Measures_HEPLLC,https://bcl.nrel.gov/content/d9b6baa7-332b-47a0-a198-10406e6117f4,,,,,,
Set Output Table To IP Units v2,Ruby measure,"This measure changes the output table to be in IP units but the sql file remains in SI units to allow generation of OpenStudio Results. Only compatible with EnergyPlus versions after Feb 18, 2021Repo: Ski90Moo/OpenStudio_Measures_HEPLLC",https://bcl.nrel.gov/content/d19c3b12-6dd1-4efb-b3e6-397460a856b2,,,,,,
IdfToOsm,Ruby measure,Translate IDF to OSMRepo: automaticmagic/automaticmagic-measures,https://bcl.nrel.gov/content/efa9b068-4ce4-4a9d-b143-7488f08e77eb,,,,,,
Test Measure Recursive Folders,Ruby measure,A Measure to test whether supporting recursive subfolders worksRepo: jmarrec/openstudio-effibem-measures-gem,https://bcl.nrel.gov/content/b79e1024-8a7a-4c9d-91bf-6c11de58f4a9,,,,,,
ExportMetertoCSV,Ruby measure,Exports an OutputMeter specified in the AddOutputMeter OpenStudio measure to a csv file.Repo: BuildingPerformanceSimulation/openstudio-measures,https://bcl.nrel.gov/content/0d08ca00-7dea-436d-843a-a48a483cbf7c,,,,,,
Apply Now Reporting Measure,Ruby measure,"An example of how you can create something similar to a ReportingMeasure (that will create an HTML file) but is actually a ModelMeasure you can run in ""Apply Now""Repo: jmarrec/openstudio-effibem-measures-gem",https://bcl.nrel.gov/content/e43ed467-95da-4c60-ae50-95c225fad661,,,,,,
AedgK12ElectricEquipment,Ruby measure,"This measure removes all existing electric equipment from spaces recognized as primary or secondary school space types. One exception is that loads assigned directly to a space whre the load definition contains ""Elev"" or ""elev"" will be left alone. New electric equipment will be added based on...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/4ef1195b-a7b2-4afc-8bbc-e0c28a86dfa4,,,,,,
AedgOfficeHvacWshpDoas,Ruby measure,"Measure replaces existing HVAC system (if any) with a Water Source Heat Pump (WSHP) with DOAS HVAC system (one DOAS per floor).  The WSHP with DOAS system (centralized DOAS, with zone level conditioning) is applied to all space types.  In select cases, the user is given the option to preserve...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/aa5fbc1c-4dc2-4a51-84fa-ce5e291f77b6,,,,,,
AedgK12ElectricEquipmentControls,Ruby measure,"This measure reduces the values associated with electric equipment schedules to simulate reductions due to equipment controls throughout the building. This includes occupancy based outlets or adapters, as well as network or timer based controls. Kitchen equipment controls are not altered by this...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/285bc263-7429-4049-a0ce-f60fabf46eec,,,,,,
AedgK12EnvelopeAndEntryInfiltration,Ruby measure,This measure addresses two sources of air infiltration. The first is infiltration through the building envelope. The second is infiltration due to occupants entering and leaving the building. The AEDG provides recommendations and tips on how to limit infiltration in both cases. For occupant...Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/02447d29-ee6a-436a-af49-3358ad90f7aa,,,,,,
AedgK12ExteriorWallConstruction,Ruby measure,This measure will modify existing exterior wall insulation levels based on construction type and climate zone. The exterior wall construction type and climate zone should be set in the model prior to using this measure. For mass and metal walls if an existing insulation layer can be found it...Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/f555ea01-39b7-4c4d-94ff-73ba6a6b96fd,,,,,,
AedgK12Swh,Ruby measure,Measure replaces existing swh equipment (if any) with the swh equipment recommendations of the 50% K-12 AEDG.Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/081b3ccb-fc4a-48f7-ad50-87c90c20f9f9,,,,,,
AedgOfficeHvacAshpDoas,Ruby measure,"Measure replaces existing HVAC system (if any) with an Air Source Heat Pump (ASHP) with DOAS HVAC system (one DOAS per floor).  The ASHP with DOAS system (centralized DOAS, with zone level conditioning) is applied to all space types.  In select cases, the user is given the option to preserve...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/18c59c3c-d994-46a9-b3eb-39b983b93ef8,,,,,,
AedgOfficeHvacVavChW,Ruby measure,"Measure replaces existing HVAC system (if any) with a high efficiency multizone variable air volume (VAV) HVAC system (one system per floor).  The multizone VAV system (centralized cooling with zone level heating) is applied to all space types.  In select cases, the user is given the option to...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/28e4e4fb-a10a-4f85-82f9-c4ad2dd3cf12,,,,,,
AedgOfficeSwh,Ruby measure,Measure replaces existing swh equipment (if any) with the swh equipment recommendations of the 50% Small and Medium Office AEDG.Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/42e0df75-b1b0-4f52-9c3b-3895dbe5ed0e,,,,,,
AedgSmallToMediumOfficeInteriorLightingControls,Ruby measure,This measure reduces the values associated with lighting schedules to simulate reductions due to vacancy sensors throughout the building.Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/57ba8820-6394-4c76-86c3-cc045a8a2b26,,,,,,
AedgSmallToMediumOfficeSlabAndBasement,Ruby measure,"This measure applies Small to Medium Office AEDG 50% recommendations for slab and below grade walls. It can also be used to model and simulate ASHRAE 90.1 2004 slab and below grade wall insulation levels. Note that for many climate zones (1-3), if your model doesn't have below grade walls or...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/9ef02e15-c7af-4bd3-a98a-44d52f3ea385,,,,,,
ZEDG K12 RoofConstruction,Ruby measure,"ZEDG version, only setup for IEAD roof. This measure will modify existing roof insulation levels and Solar Reflective Index (SRI) values based on roof type and climate zone. The roof type and climate zone should be set in the model prior to using this measure. If your model uses an attic, all...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/d322d264-5855-4b20-bd3e-3c5e5032bc05,,,,,,
AedgK12ExteriorLighting,Ruby measure,"This measure will create exterior lights objects in four different categories described below. The lighting levels and controls will be based on the ""How to Implement Recommendations"" section in the AEDG; any existing exterior lighting will be removed. A special input is needed for this measure...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/04fd62eb-3e9f-4bfc-98d8-7827b47e034a,,,,,,
AedgK12HvacDualDuctDoas,Ruby measure,"Measure replaces existing HVAC system (if any) with a Dual Duct with DOAS HVAC system (one system per floor).  The dual duct system (separate variable speed air delivery paths for cooling and DOAS, with zone level heating) is applied to all space types except Cafeteria, Kitchen, Gym, and...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/e45f7185-15c2-40da-be15-2e8406f96dba,,,,,,
AedgK12HvacFanCoilDoas,Ruby measure,"Measure replaces existing HVAC system (if any) with a Fan Coil with DOAS HVAC system (one DOAS per floor).  The fan coil with DOAS system (centralized DOAS, with zone level conditioning) is applied to all space types except Cafeteria, Kitchen, Gym, and Auditorium; packaged single zone equipment...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/ed4da36e-5b88-4cce-9ee2-c5390031dd61,,,,,,
AedgK12HvacGshpDoas,Ruby measure,"Measure replaces existing HVAC system (if any) with a Ground Source Heat Pump (GSHP) with DOAS HVAC system (one DOAS per floor).  The GSHP with DOAS system (centralized DOAS, with zone level conditioning) is applied to all space types except Cafeteria, Kitchen, Gym, and Auditorium; packaged...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/b8ba0b97-9caf-42cd-81bb-16eaa0a4402c,,,,,,
AedgK12RoofConstruction,Ruby measure,"This measure will modify existing roof insulation levels and Solar Reflective Index (SRI) values based on roof type and climate zone. The roof type and climate zone should be set in the model prior to using this measure. If your model uses an attic, all attic surfaces should have an ""Attic'...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/04f0c955-4885-4974-9930-13601f375d20,,,,,,
AedgSmallToMediumOfficeExteriorDoorConstruction,Ruby measure,This measure is intended for use on opaque doors; if doors are glass they should be treated as windows. OpenStudio does have a unique object for overhead doors versus standard doors. This measure doesn't alter infiltration. There is a separate measure for infiltration that includes user...Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/d9dd27f7-d622-4d85-96e4-c09fcd15603c,,,,,,
AedgSmallToMediumOfficeExteriorFloorConstruction,Ruby measure,This measure will modify existing exterior floor (air exposed) insulation levels based on construction type and climate zone. The exterior floor construction type and climate zone should be set in the model prior to using this measure. For mass floors if an existing insulation layer can be found...Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/6698017c-52bd-4fc9-9240-f480301f66b8,,,,,,
AedgSmallToMediumOfficeRoofConstruction,Ruby measure,"This measure will modify existing roof insulation levels and Solar Reflective Index (SRI) values based on roof type and climate zone. The roof type and climate zone should be set in the model prior to using this measure. If your model uses an attic, all attic surfaces should have an ""Attic'...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/f35d0cf1-40e4-47d1-84a4-91181a03085e,,,,,,
ZEDG K12 Interior Lighting,Ruby measure,"This measure removes all existing electric equipment objects from spaces recognized as primary or secondary school space types, with the exception of the kitchen which has a dedicated measure that should be used. New equipment will be added based on the Net Zero K12 recommendations.Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/d3283a8e-aee1-4b9d-9217-a7a988726fb4,,,,,,
AedgK12ExteriorDoorConstruction,Ruby measure,This measure is intended for use on opaque doors; if doors are glass they should be treated as windows. OpenStudio does have a unique object for overhead doors versus standard doors. This measure doesn't alter infiltration. There is a separate measure for infiltration that includes user...Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/87718175-d555-4936-b2f6-a381208341e9,,,,,,
AedgK12ExteriorFloorConstruction,Ruby measure,This measure will modify existing exterior floor (air exposed) insulation levels based on construction type and climate zone. The exterior floor construction type and climate zone should be set in the model prior to using this measure. For mass floors if an existing insulation layer can be found...Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/099f148c-7550-45ac-bbfe-0eb2bac5969f,,,,,,
AEDG K12 - Fenestration and Daylighting Controls,Ruby measure,"This measure will remove all existing exterior windows, glass doors, and skylights from your model. They will be replaced with view and daylight windows as recommended by the K12 AEDG recommendations. Windows on the south facade will have a exterior shading or light shelf surfaces depending on...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/76683121-d531-46c0-8e1c-749c1ff646f0,,,,,,
AedgK12Kitchen,Ruby measure,"Measure replaces existing kitchen equipment (if any) with refrigeration, electric, and gas equipment that align with the kitchen equipment recommendations of the 50% K-12 AEDG.Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/92750b5a-7eb5-4df5-899f-c186c7c27935,,,,,,
AedgOfficeHvacFanCoilDoas,Ruby measure,"Measure replaces existing HVAC system (if any) with a Fan Coil with DOAS HVAC system (one DOAS per floor).  The fan coil with DOAS system (centralized DOAS, with zone level conditioning) is applied to all space types.  In select cases, the user is given the option to preserve existing HVAC...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/298c5638-bd9d-4d6a-9c8a-e0514df4db4a,,,,,,
AedgOfficeHvacRadiantDoas,Ruby measure,"Measure replaces existing HVAC system (if any) with a Radiant Heating and Cooling with DOAS HVAC system (one DOAS per floor).  The radiant with DOAS system (centralized DOAS, with zone level conditioning) is applied to all space types.  In select cases, the user is given the option to preserve...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/3d7edb7b-aeff-4a59-87f2-138766b48c11,,,,,,
AedgSmallToMediumOfficeElectricEquipment,Ruby measure,This measure removes all existing electric equipment from spaces recognized as office building space types. New electric objects will be added based on the 50% Small to Medium Office AEDG recommendations.Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/2b50c112-4ee3-42b2-8c7f-d76d752cd0b4,,,,,,
AedgSmallToMediumOfficeFenestrationAndDaylightingControls,Ruby measure,"This measure will remove all existing exterior windows, glass doors, and skylights from your model. They will be replaced with view and daylight windows as recommended by the Small to Medium Office AEDG recommendations. Windows on the south facade will have a exterior shading or light shelf...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/4252d6c7-ccd5-4cae-b55e-8d7b1dfcc717,,,,,,
ZEDG K12 HVAC Fan Coil DOAS,Ruby measure,"Measure replaces existing HVAC system (if any) with a Fan Coil with DOAS HVAC system (one DOAS per floor).  The fan coil with DOAS system (centralized DOAS, with zone level conditioning) is applied to all space types except Cafeteria, Kitchen, Gym, and Auditorium; packaged single zone equipment...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/791d0da9-00d3-422f-9dd2-fe57c9b59997,,,,,,
ZEDG K12 HVAC Fan Coil DOAS Air Cooled Chiller,Ruby measure,Measure replaces existing HVAC system (if any) with a Fan Coil with DOAS HVAC with air cooled Chiller system (one DOAS per floor).Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/33ed4338-5e86-415f-8df0-87e32e413711,,,,,,
AedgK12InteriorFinishes,Ruby measure,"This measure will adjust the visible reflectance of materials used on interior building surfaces. Different target values will be set for floors, ceilings, and furniture/interior partition surfaces.Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/9165a1f8-9cd1-4492-b20b-5257c05fc5d9,,,,,,
AedgK12InteriorLightingControls,Ruby measure,This measure reduces the values associated with lighting schedules to simulate reductions due to vacancy sensors throughout the building.Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/9f395ee4-5f82-4ca6-8a50-cb854893827e,,,,,,
AedgSmallToMediumOfficeEnvelopeAndEntryInfiltration,Ruby measure,This measure addresses two sources of air infiltration. The first is infiltration through the building envelope. The second is infiltration due to occupants entering and leaving the building. The AEDG provides recommendations and tips on how to limit infiltration in both cases. For occupant...Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/9c977bfb-d3f8-4f61-afcf-9524edf82cb8,,,,,,
AedgSmallToMediumOfficeExteriorLighting,Ruby measure,"This measure will create exterior lights objects in four different categories described below. The lighting levels and controls will be based on the ""How to Implement Recommendations"" section in the AEDG; any existing exterior lighting will be removed. A special input is needed for this measure...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/90211a9c-de3f-458d-85c1-b40666b55f06,,,,,,
AedgSmallToMediumOfficeExteriorWallConstruction,Ruby measure,This measure will modify existing exterior wall insulation levels based on construction type and climate zone. The exterior wall construction type and climate zone should be set in the model prior to using this measure. For mass and metal walls if an existing insulation layer can be found it...Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/736836f8-1a55-47a6-96b7-9fd157be6744,,,,,,
AedgSmallToMediumOfficeInteriorLighting,Ruby measure,This measure removes all existing lighting objects from spaces recognized as primary or secondary school space types. New lighting will be added based on the 50% Small to Medium Office AEDG recommendations.Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/e1e16b8f-5cbf-447c-9f76-7fe69b3cf01e,,,,,,
ZEDG K12 ElectricEquipment,Ruby measure,"This measure removes all existing electric equipment from spaces recognized as primary or secondary school space types. One exception is that loads assigned directly to a space where the load definition contains ""Elev"" or ""elev"" will be left alone. New electric equipment will be added based on...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/d1fc10bc-0ae1-4e1b-b1ac-67fc3923b268,,,,,,
ZEDG K12 ExteriorDoorConstruction,Ruby measure,This measure is intended for use on opaque doors; if doors are glass they should be treated as windows. OpenStudio does have a unique object for overhead doors versus standard doors. This measure doesn't alter infiltration. There is a separate measure for infiltration.Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/11c69bb4-3bea-4a7e-8a8e-fea4b5f71a1c,,,,,,
ZEDG K12 ExteriorWallConstruction,Ruby measure,"This measure will modify existing exterior wall insulation levels based on construction type and climate zone. The climate zone should be set in the model prior to using this measure. For steel and wood framed walls, insulation will be added to the exterior of the construction.Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/39d1c328-0bbb-40ee-a18c-ba977b462a11,,,,,,
ZEDG K12 Kitchen,Ruby measure,Electric equipment added per ZEDG recommendations for kitchens. Refrigeration is included in the plug loads.Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/6d9f212d-e859-4857-8ee7-1670de9c2bfb,,,,,,
ZEDG K12 SWH,Ruby measure,Use 90% efficient natural gas-fired storage tank water heater. Water use demand is caluclated per student.Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/d765082f-34fb-4b03-bd4e-e8e4a418ba2a,,,,,,
AedgK12InteriorLighting,Ruby measure,"This measure removes all existing electric equipment objects from spaces recognized as primary or secondary school space types, with the exception of the kitchen which has a dedicated measure that should be used. New equipment will be added based on the 50% K12 AEDG recommendations.Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/2faf0e50-8589-427f-8ee8-928169b1f7fa,,,,,,
AedgK12SlabAndBasement,Ruby measure,"This measure applies K12 AEDG 50% recommendations for slab and below grade walls. It can also be used to model and simulate ASHRAE 90.1 2004 slab and below grade wall insulation levels. Note that for many climate zones (1-5), if your model doesn't have below grade walls or heated slabs the AEDG...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/589fcda1-049e-44c5-82e4-804d7d9165aa,,,,,,
AedgOfficeHvacVavDx,Ruby measure,"Measure replaces existing HVAC system (if any) with a high efficiency multizone variable air volume (VAV) HVAC system (one system per floor).  The multizone VAV system (centralized cooling with zone level heating) is applied to all space types.  In select cases, the user is given the option to...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/ffdf05ce-34c2-498e-9ca8-4ef8fe3a9af5,,,,,,
AedgSmallToMediumOfficeElectricEquipmentControls,Ruby measure,"This measure reduces the values associated with electric equipment schedules to simulate reductions due to equipment controls throughout the building. This includes occupancy based outlets or adapters, as well as network or timer based controls.Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/b297ea8a-d21f-416b-8b41-3dfc99b430cf,,,,,,
AedgSmallToMediumOfficeInteriorFinishes,Ruby measure,"This measure will adjust the visible reflectance of materials used on interior building surfaces. Different target values will be set for floors, ceilings, and furniture/interior partition surfaces.Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/d426daf2-995d-4c76-bec4-4b34e7ae2f38,,,,,,
ZEDG K12 Envelope Infiltration,Ruby measure,This measure addresses total building infiltration values.Repo: NREL/openstudio-aedg-gem,https://bcl.nrel.gov/content/e6232b68-8c72-4986-8693-84c0fe1d00ec,,,,,,
ZEDG K12 - Fenestration and Daylighting Controls,Ruby measure,"This measure will remove all existing exterior windows, glass doors, and skylights from your model. They will be replaced with view and daylight windows as recommended by the Net Zero K12 recommendations. Windows on the south facade will have a exterior shading or light shelf surfaces depending...Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/eb3bfd3d-64b6-4a9f-857d-3dd8a7becec5,,,,,,
ZEDG K12 HVAC GSHP with DOAS,Ruby measure,"Each zone served by the DOAS (classrooms, corridors, library/media center, lobbies, mechanical rooms, offices, and restrooms) was modeled with a two-speed GSHP.Repo: NREL/openstudio-aedg-gem",https://bcl.nrel.gov/content/59793426-1d07-41d2-9478-d7abf1410764,,,,,,
Meter Custom,Ruby measure,"This measure creates a Custom Meter to combine output variables and meters from a user-defined .csv file. This is helpful for combining energy use by floor, by space type, or for specific zones. You can easily create this grouping by generating the SpaceTypeReport, then filtering and copying the...Repo: BuildingPerformanceSimulation/openstudio-measures",https://bcl.nrel.gov/content/4b323dbc-652b-447f-a883-fbdc9f2e651b,,,,,,
Edit Return Air Flow Fraction,Ruby measure,This modifies the Design Return Air Flow Fraction of Supply Air Flow from the default of 1 for cases where the system return fan never returns as much airflow as the supply fan.Repo: Ski90Moo/OpenStudio_Measures_HEPLLC,https://bcl.nrel.gov/content/3163802d-596c-4d9c-b054-72a44dc8e103,,,,,,
Zone Report,Ruby measure,"This measure provides Thermal Zone level HVAC information.  Output includes thermal zone equipment descriptions and details, zone sizing information for heating and cooling, and a disaggregation of the contributions of envelope and internal gains to the HVAC loads.Repo: BuildingComponentLibrary/legacy-NREL-measures-gem",https://bcl.nrel.gov/content/f3531642-27ce-4624-95ab-0bfcd5b9f5fe,,,,,,
OpenStudio Extension Test Measure,Ruby measure,A measure that tests OpenStudio Extension gem functionalityRepo: BuildingComponentLibrary/legacy-NREL-measures-gem,https://bcl.nrel.gov/content/36b99a29-41e1-4d85-9272-85d43b966e5a,,,,,,
Add Wind and Stack Open Area,Ruby measure,"This measure models natural ventilation to thermal zones with operable windows.  It is not intended to model natural ventilation that relies on interzone, stack driven air transfer.Repo: BuildingPerformanceSimulation/openstudio-measures",https://bcl.nrel.gov/content/8055497a-0d38-48eb-a643-76383fa54664,,,,,,
